id,ushio,kageyama,katou,saitou,sasaki_kumi,sasaki_mirei,takase,takamoto,higashimura,kanemura,kawata,kosaka,tomita,nibu,hamagishi,matuda,miyata,watanabe,kamimura,takahashi,morimoto,yamaguchi
266,,,,,,,,2,,,,,,,,,,,1,,,
267,1,,,,,,,,,,2,,,,,,,,,,,
268,,,,,1,,,2,,,,,,,,,,,,2,,2
269,,1,,,,,,,,,,,,,,,,,,2,,
270,1,,,,,,2,,,,,,,,,,2,,,,,
271,1,,,,,,,,,,,,,2,,,,,,,,
272,,,,,,,,,,1,,2,,,,,,,,,,
273,1,,,,,,,,,,,,,,,,,,,2,2,2
274,2,,,1,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,2,,,2,,1,,,,,,
276,1,,,,2,,,2,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,2,,1,,
278,,,2,,,,,,,,,,,,,1,,2,,,,
279,,,,,,,,,,,,,,,,2,,1,2,,,
280,,,,,,,,,,,2,,,,1,,,,,,,
281,,,,,2,,1,,2,,,,,,,,,,,,,
282,2,,,,,,,2,1,,,,,,,,,,,,,
283,,,,,,2,1,,,,,,,,,,,,,,,
284,,,,,,,,,,2,,,,1,,,,,,,,
285,,,,,,1,,,,,,,2,,,,,,,,,
286,,,,,,,,,,,1,,,,2,,,,,,,
287,2,,1,,2,,,,,,,,,,,,,,,,,
288,,,,,,,2,,,,,,,,,,1,,,,,
289,,,2,,1,,,,,,,,,,,,,,,,,
290,,,,2,,,,,1,,,,,,,,,,,,,
291,,,,,,,,,,,,2,,,,,1,,2,,,
292,1,,,,,,,,2,,,,,,,,,,,,,
293,,,,,,,,,1,,,,,,,,,,,,,2
294,,,,,,,1,,,,2,,,,,,,,,,,
295,,,,,,,,,,,,,,1,,2,,,,,,
296,2,,,,,,,,,,,,,,,,1,,,,,
297,,,2,,,,1,,,,,,,,,,,,,,,
298,,,,,,,,,,1,,,,2,,,,,,,,
299,,,,,,,,,,,,,,,,,,,2,1,,
300,2,,,1,2,2,2,2,,,,,,,,,,,,,,
301,1,,,,,,,,,,,2,,2,,,,,,,,
302,,2,,,,,,,,,,,,,,,1,,,,,
303,,1,,,,,,,,,,,,2,,,2,,,,,
304,,,,,,,,,,,,,1,,2,,,,,,,
305,,,,,,,,,,1,,,,,,,,,2,,,
306,1,,,,2,,,,,,,,,,,,,,,,,
307,2,,,1,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,2,,,,,1,,,,,,,
309,,,1,,,,,2,,,,,,,,,,,,,,
310,,,,,,,,,,2,,,,1,,,,2,,,,
311,,,2,,1,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,1,,2,,,,
313,,,,,,,,,,2,,1,2,,,,,,,,,
314,,,2,,,,,1,,,,,,,,,,,,,,
315,,2,,,,,,,,,,,,,,,,,1,,,
316,,,,,,1,,,,,,2,,,,,,2,,,,
317,,,,,,,,,,,,1,,,,,,,2,2,2,2
318,,1,,2,,,,,,,,,,,,,,,,,,
319,,,1,,,,,,,,,2,,,,,,,,,,
320,,,1,,,,,,,,,,,2,,,,,2,,,
321,,,,,,2,,,,,,,,,1,,,,,,,
